Time,Date,kwh
3am ,12-Jul-2014,0.842   
2pm ,26-Jun-2014,0.576   
6pm ,02-Jan-2014,2.352  
7pm , 5-Oct-2014,0.929
8am ,25-Sep-2014,0.294  
12pm ,15-Dec-2014,0.451kwh 
7am ,23-Oct-2014,0.491  
6am ,17-Apr-2014,0.338  
12am ,19-Mar-2014,0.259kwh 
2am ,04-Apr-2014,0.05
12pm ,26-Mar-2014,0.34kwh
8pm , 7-Jun-2014,2.624kwh  
10am ,05-Mar-2014,0.291kwh 
3am ,18-Sep-2014,0.144  
9pm ,09-Jul-2014,1.21  
4am ,19-Oct-2014,0.189  
11am ,04-Aug-2014,0.708  
10am ,21-Jul-2014,0.95  
8am ,27-Mar-2014,0.291 
3am ,20-Sep-2014,0.172   
6am ,22-Aug-2014,1.656   
9pm ,24-Apr-2014,0.203 
7pm ,31-May-2014,1.339kwh
5am ,14-Jun-2014,0.589   
8am ,22-Jul-2014,0.806  
9am ,17-May-2014,0.626 
5pm ,27-Oct-2014,0.686  
6pm , 8-Nov-2014,0.697kwh
3pm ,15-Apr-2014,0.127kwh 
2pm ,09-Nov-2014,0.403kwh
12pm ,21-Jul-2014,1.32 
9pm ,16-Aug-2014,0.461  
4pm ,14-Aug-2014,0.389kwh  
1pm ,11-Jan-2014,1.08   
8pm ,02-Apr-2014,0.528 
9am ,28-Feb-2014,0.421  
3am ,19-Mar-2014,0.171  
3am ,29-Jan-2014,0.336kwh
5am , 1-Mar-2014,0.269
6am ,23-Aug-2014,1.114 
8pm ,12-Jun-2014,2.765  
10am ,07-May-2014,0.358  
9pm ,22-Jan-2014,1.20 
4pm ,18-Oct-2014,0.486kwh
7pm ,16-Jan-2014,4.068  
9am ,12-Jan-2014,1.566kwh
12am , 3-Jan-2014,0.564kwh
3pm ,20-Jan-2014,0.84kwh 
3am ,15-Jan-2014,0.348   
12am ,12-Apr-2014,0.24kwh  
5am , 2-May-2014,1.003  
2am ,12-Mar-2014,0.152  
8pm ,02-Dec-2014,1.654kwh  
4pm ,04-Feb-2014,0.48   
8pm ,10-Mar-2014,1.293  
6am , 8-Apr-2014,0.403kwh
4am ,17-Dec-2014,0.242kwh 
9pm ,30-Dec-2014,0.733
1pm ,05-Feb-2014,0.528   
5am , 9-Sep-2014,0.855kwh  
8pm ,25-Apr-2014,0.48kwh
1pm ,22-Dec-2014,0.387kwh
9pm ,20-Oct-2014,0.374kwh  
8pm , 8-May-2014,1.408kwh  
10pm , 4-Nov-2014,0.259kwh  
6pm ,04-Dec-2014,1.617 
12pm , 3-Feb-2014,0.516  
1pm , 4-Feb-2014,0.528   
8pm ,17-Aug-2014,1.901kwh 
2am ,20-Nov-2014,0.072
1am ,18-Jun-2014,0.378  
1pm ,26-May-2014,0.298  
5am ,13-Feb-2014,1.307kwh
2pm , 1-May-2014,0.346  
5am ,07-Dec-2014,0.393kwh 
3pm ,21-Jan-2014,0.648  
6pm ,12-Nov-2014,0.674kwh
5pm ,15-Oct-2014,0.632 
7pm ,18-Jan-2014,3.24   
11pm ,19-Oct-2014,0.309kwh 
9pm , 9-Aug-2014,0.437  
2am ,15-Feb-2014,0.349 
11am ,22-Sep-2014,0.315 
8am ,27-Nov-2014,0.211 
8am ,30-Aug-2014,1.841 
6am , 1-Nov-2014,0.392kwh
3am ,29-Mar-2014,0.221
7pm ,24-Jan-2014,4.212   
11am ,21-Feb-2014,0.516  
1pm ,07-Apr-2014,0.098 
11pm ,16-Mar-2014,0.384kwh  
10am ,23-Jul-2014,1.066kwh 
7pm ,13-Dec-2014,1.94kwh 
9pm ,13-Apr-2014,0.202kwh  
12am ,21-Apr-2014,0.10 
5pm ,24-Jul-2014,3.65  
10am ,22-Jun-2014,1.188 
1pm ,21-Aug-2014,0.571
4am , 1-Oct-2014,0.096
2am ,25-Sep-2014,0.133 
4pm ,16-Jun-2014,0.785  
1am ,04-Apr-2014,0.051   
10am ,27-Mar-2014,0.278
10pm ,10-Apr-2014,0.131  
1am ,31-Jul-2014,0.413  
3pm , 6-Oct-2014,0.197kwh
11pm ,07-Apr-2014,0.171   
11pm ,26-Feb-2014,0.582  
6pm ,13-Dec-2014,2.277 
8pm , 3-Jun-2014,3.082  
5am , 8-Feb-2014,0.346kwh 
5am ,27-Mar-2014,0.959   
1pm ,11-Nov-2014,0.20kwh
8pm ,16-May-2014,1.421  
4pm , 3-Apr-2014,0.10  
5pm ,29-Nov-2014,0.462kwh  
6pm , 2-May-2014,0.986  
10am , 9-Jan-2014,0.84kwh 
6pm ,17-Jun-2014,2.974kwh  
4am ,21-Mar-2014,0.163
2am ,30-Jan-2014,0.44  
12am ,22-Sep-2014,0.185 
10pm ,13-Aug-2014,0.606kwh 
4am ,11-Mar-2014,0.165 
5pm ,30-May-2014,1.071   
3pm ,30-Aug-2014,1.285  
1am ,16-Sep-2014,0.141  
8pm ,11-May-2014,1.411 
11pm , 2-Jan-2014,1.07kwh  
10pm ,23-Jun-2014,0.72kwh
12am ,20-Nov-2014,0.158 
7pm , 3-Feb-2014,2.311kwh 
3pm ,05-Mar-2014,0.256 
9am ,25-Apr-2014,0.081
9pm ,15-Feb-2014,0.562  
9pm ,15-Dec-2014,0.70kwh  
2pm ,22-Oct-2014,0.216kwh
5am ,10-Jun-2014,2.277kwh  
6pm , 6-Jan-2014,2.52  
2pm ,28-Mar-2014,0.342
9pm ,25-Feb-2014,0.67 
5pm ,14-Aug-2014,1.248kwh 
4am ,30-Apr-2014,0.055
2pm ,15-Jul-2014,1.114  
10pm , 7-Mar-2014,0.554
9am ,26-Nov-2014,0.136kwh
9pm ,18-Jun-2014,1.274 
12am ,12-Oct-2014,0.485   
4am ,28-May-2014,0.176
9am ,18-Feb-2014,0.36  
2am ,16-Mar-2014,0.204  
3am ,09-May-2014,0.174 
3am ,13-Aug-2014,0.209 
10am , 9-Jun-2014,0.619kwh  
4am ,22-Oct-2014,0.142   
12am ,8-Jul-2014,0.634  
5am ,18-Mar-2014,0.942kwh
12am ,27-Mar-2014,0.271  
10am ,24-Nov-2014,0.144  
10pm ,19-Nov-2014,0.182 
12am ,28-Oct-2014,0.18 
7pm , 6-Feb-2014,2.268kwh
10am ,7-Jul-2014,1.056 
5am , 2-Feb-2014,0.403kwh
2pm ,23-Oct-2014,0.262
3am ,24-Jan-2014,0.424  
9pm ,22-Aug-2014,0.384 
9pm ,10-Jan-2014,0.864 
12pm ,10-Oct-2014,0.255  
8pm ,29-Jan-2014,3.552   
11am ,22-Nov-2014,0.227kwh
10pm ,23-Jul-2014,1.068   
3pm ,19-Mar-2014,0.358   
8am ,14-Jul-2014,0.95  
11am ,28-Jun-2014,1.156  
7am ,21-Apr-2014,0.23   
9am ,19-Nov-2014,0.127  
12pm ,26-Sep-2014,0.326   
12pm ,13-Sep-2014,0.445kwh 
11am ,21-Jul-2014,1.26kwh 
11pm ,30-Nov-2014,0.266kwh  
8pm ,20-Feb-2014,1.613 
4am , 5-May-2014,0.174kwh  
6am ,13-Jan-2014,2.136kwh
5pm , 4-Aug-2014,1.825
2am ,11-May-2014,0.266kwh  
3pm ,09-Jul-2014,1.056  
10am ,16-May-2014,0.326  
5pm ,02-Sep-2014,0.792  
6pm ,9-Nov-2014,0.826kwh
3pm ,8-Oct-2014,0.202kwh  
5am , 4-Feb-2014,1.294  
12am ,12-May-2014,0.226  
4am , 5-Aug-2014,0.192kwh  
9am ,21-May-2014,0.25 
4pm ,5-Oct-2014,0.562kwh  
7pm , 4-Apr-2014,0.508kwh  
8am ,28-Nov-2014,0.20 
3am ,21-Jan-2014,0.412kwh
4pm , 8-Nov-2014,0.454
7am ,20-Aug-2014,0.983kwh 
2pm ,08-Apr-2014,0.122 
10pm ,28-Jan-2014,1.19 
12pm , 3-Apr-2014,0.161  
1am ,02-Aug-2014,0.335
12pm ,14-Oct-2014,0.345 
1am ,30-Mar-2014,0.245 
3am ,28-Jul-2014,0.389  
9am ,11-May-2014,0.842 
6am ,28-Oct-2014,0.814kwh  
2am ,28-Dec-2014,0.33  
11pm ,01-Dec-2014,0.60
10pm ,13-Sep-2014,0.333   
7pm ,25-Oct-2014,1.22  
7am ,10-Mar-2014,0.576 
8pm , 6-May-2014,1.318
8pm ,17-Jul-2014,4.339
12pm ,17-Dec-2014,0.605kwh  
6pm ,19-Nov-2014,0.536 
8am ,29-Jun-2014,2.621  
4am ,11-Nov-2014,0.082 
9pm ,21-Dec-2014,0.733  
5am ,31-Aug-2014,0.295kwh
9pm ,14-Aug-2014,0.821kwh  
1pm ,22-Jul-2014,1.075  
8pm ,24-Mar-2014,1.178   
12am , 5-Dec-2014,0.343kwh 
12am ,15-Aug-2014,0.324kwh
10pm ,20-Jan-2014,0.84
1am ,11-Aug-2014,0.252  
8am , 1-Jul-2014,1.056  
8am ,20-Nov-2014,0.171kwh  
8pm ,20-May-2014,1.472   
4am ,24-Jun-2014,0.41kwh
2am ,19-Sep-2014,0.118   
9pm ,21-Jun-2014,0.864  
12am , 7-Oct-2014,0.185kwh  
7pm ,23-Jun-2014,2.786 
12pm ,09-Jun-2014,0.873
7am ,30-Mar-2014,1.056   
11am ,04-Mar-2014,0.476 
2pm ,07-Jan-2014,0.752   
10am ,13-Aug-2014,0.446 
1am ,22-Nov-2014,0.159kwh 
1pm ,12-May-2014,0.371  
3am ,29-Sep-2014,0.154   
12am , 2-May-2014,0.221
6pm ,13-Sep-2014,1.273 
2pm ,29-Dec-2014,0.444  
1am ,23-Jul-2014,0.538 
9am ,24-Nov-2014,0.131 
7pm ,23-Feb-2014,1.944kwh  
4am , 1-Jun-2014,0.47 
11pm ,27-Oct-2014,0.354
12am ,21-Jan-2014,0.702kwh  
4pm ,27-Dec-2014,0.861 
8pm , 8-Aug-2014,1.67
9pm , 4-May-2014,0.437 
3pm ,24-Dec-2014,0.502  
12am ,03-Apr-2014,0.103 
6am ,14-Oct-2014,0.662 
7pm ,17-Jan-2014,3.816
3am ,21-Aug-2014,0.209kwh 
3pm ,05-Jan-2014,1.80kwh
2am ,19-May-2014,0.166   
11pm ,24-Sep-2014,0.298 
1pm ,28-Dec-2014,0.779kwh
1pm , 7-Feb-2014,0.49   
4pm ,31-Jan-2014,0.784kwh  
11pm , 5-Sep-2014,0.735kwh  
7am ,23-Apr-2014,0.219kwh 
12am , 9-Sep-2014,0.176  
4pm ,13-Sep-2014,0.718  
1am ,26-Aug-2014,0.254 
2am , 5-Jul-2014,0.655kwh
1am ,25-Jun-2014,0.313  
5pm ,10-May-2014,0.576 
11pm ,20-Dec-2014,1.111kwh  
8pm ,12-Jan-2014,3.132 
2am ,14-Feb-2014,0.288kwh 
10am ,30-Mar-2014,0.528kwh
2pm ,19-Mar-2014,0.307 
3pm , 8-Apr-2014,0.131 
11am ,10-Aug-2014,0.583
11am ,13-Jul-2014,1.728kwh 
6pm , 6-Dec-2014,1.861 
6am ,15-Sep-2014,1.008kwh 
10pm ,20-Jul-2014,1.356kwh  
4am ,15-Apr-2014,0.056kwh  
9pm ,24-Oct-2014,0.259kwh
9pm ,07-Jul-2014,1.426kwh 
2am , 1-Sep-2014,0.125kwh
6am ,25-Feb-2014,1.469 
2pm , 6-Nov-2014,0.16   
3am ,26-Aug-2014,0.216  
1am ,15-Jan-2014,0.456   
6pm ,14-Sep-2014,1.235 
11am ,11-Jun-2014,1.044  
10am , 5-Jan-2014,1.248kwh
7pm ,15-Sep-2014,1.109kwh 
9pm ,20-Sep-2014,0.244 
9pm ,25-Sep-2014,0.504  
10am ,27-Feb-2014,0.466
9pm ,28-Aug-2014,0.655 
2pm ,29-Nov-2014,0.414 
3pm ,01-Dec-2014,0.374
6pm , 3-Feb-2014,1.546kwh  
1pm ,17-Aug-2014,0.77 
5pm ,22-May-2014,1.206kwh
9am ,18-Aug-2014,0.40kwh
2pm ,18-Dec-2014,0.431
8am ,13-Nov-2014,0.205  
2pm ,04-Jul-2014,0.816 
7am ,09-Oct-2014,0.637  
7am ,29-Nov-2014,0.459   
9pm ,22-Jul-2014,1.67
10pm , 6-Sep-2014,0.297  
8pm ,15-Nov-2014,0.875   
2am , 3-Dec-2014,0.211kwh  
4pm , 9-Nov-2014,0.393kwh 
9pm , 9-Jan-2014,1.176kwh  
11am , 1-Mar-2014,0.485
7am ,28-Jan-2014,2.07 
3pm ,30-Nov-2014,0.47
3am , 2-Oct-2014,0.097kwh  
5am ,21-May-2014,0.906   
3pm ,11-May-2014,0.742kwh 
2pm ,08-Dec-2014,0.449
9pm ,16-Dec-2014,0.719 
12pm , 8-Sep-2014,0.354  
12am ,26-Nov-2014,0.146 
3am ,28-Jun-2014,0.508   
2pm ,12-May-2014,0.275 
6am ,30-May-2014,1.114  
9pm , 5-Oct-2014,0.31kwh  
2pm ,18-May-2014,0.525  
1am , 3-May-2014,0.269  
9am ,11-Mar-2014,0.286 
12am , 2-Aug-2014,0.97kwh  
12am ,18-Aug-2014,0.338  
7pm , 3-Jan-2014,3.42kwh 
9pm ,16-Nov-2014,0.238 
12am ,18-Sep-2014,0.174kwh 
12pm ,26-Apr-2014,0.20   
11am ,01-Jun-2014,0.918  
10pm ,30-Oct-2014,0.282 
3pm , 7-Jun-2014,1.798kwh  
6pm ,27-Nov-2014,0.63
9pm ,11-Oct-2014,0.264 
7pm ,28-Nov-2014,0.689 
8pm ,19-Sep-2014,1.075kwh
5am ,23-Jan-2014,2.178kwh
10am ,26-Jan-2014,1.308kwh 
12pm ,29-Oct-2014,0.297 
9am , 7-Oct-2014,0.173 
6am ,21-Jul-2014,2.621 
9pm ,19-May-2014,0.518  
5am ,06-Jul-2014,0.763kwh 
4pm ,11-Mar-2014,0.336  
3pm ,20-Sep-2014,0.693 
9pm ,05-Mar-2014,0.552kwh  
12am ,13-Jul-2014,2.227kwh  
8am ,12-Jul-2014,3.494kwh  
5am ,10-Oct-2014,0.535 
8am , 8-Mar-2014,0.926kwh 
8am ,18-Nov-2014,0.212  
6am ,24-Apr-2014,0.356kwh  
3am ,16-Apr-2014,0.061   
2pm ,03-Jul-2014,1.085kwh
4pm ,24-Sep-2014,0.235kwh  
12pm , 6-May-2014,0.444kwh  
2am ,19-Jun-2014,0.295kwh 
8pm , 5-Jul-2014,4.32kwh
10pm ,29-Jul-2014,1.152
1pm ,4-Jan-2014,1.14 
5pm ,13-Jan-2014,2.704
8am ,21-Feb-2014,0.509kwh 
12pm ,04-Feb-2014,0.60
1am , 6-Oct-2014,0.102
3pm ,12-Aug-2014,0.494  
7pm ,21-Nov-2014,0.948kwh  
2pm , 8-Mar-2014,0.672 
9am ,15-Jun-2014,1.588 
12am ,23-Jun-2014,0.54 
7pm ,25-Apr-2014,0.589 
8am ,06-Aug-2014,0.418 
2am ,16-Aug-2014,0.356  
4am ,14-Nov-2014,0.079kwh  
10am , 3-Jun-2014,0.785kwh 
7am ,20-Feb-2014,0.896  
8pm ,24-Jul-2014,4.493kwh  
7pm ,08-Sep-2014,1.046  
10pm ,30-Jul-2014,1.224kwh 
9pm ,17-Nov-2014,0.23
11pm ,13-Oct-2014,0.309kwh 
6am ,16-Jan-2014,2.808  
11pm ,10-Nov-2014,0.18 
5am ,16-Mar-2014,0.228kwh  
10pm ,15-Jan-2014,0.90kwh  
4am , 5-Feb-2014,0.204kwh  
6pm ,13-Mar-2014,0.941  
12am ,16-Apr-2014,0.098 
7pm ,29-Dec-2014,2.178  
4am ,19-Jun-2014,0.32 
11am ,18-Aug-2014,0.522  
7am ,12-Nov-2014,0.474 
4pm ,27-Apr-2014,0.294kwh 
3pm ,14-May-2014,0.262 
11am ,13-Apr-2014,0.189kwh 
6pm ,30-May-2014,1.053 
1am ,28-Jan-2014,0.468kwh
12am , 4-Dec-2014,0.30   
1pm , 2-Aug-2014,0.648kwh 
3pm ,03-Jan-2014,0.672  
6am ,13-Dec-2014,0.959
8pm , 2-Feb-2014,1.987
9pm ,18-May-2014,0.461kwh
11am ,24-Aug-2014,0.763kwh
11pm ,17-Feb-2014,0.594kwh  
8am ,18-Feb-2014,0.514 
1pm , 4-May-2014,0.542kwh
10pm ,01-May-2014,0.416kwh
2am , 3-Oct-2014,0.144kwh 
2am , 9-May-2014,0.141
6pm ,27-Aug-2014,1.344kwh  
11pm ,13-Jan-2014,1.19  
10pm ,28-Dec-2014,0.594  
11am , 2-Apr-2014,0.165kwh
1pm ,15-Aug-2014,0.413   
1pm ,23-Jul-2014,0.941  
6am ,17-Feb-2014,1.584  
2am ,31-Aug-2014,0.367 
11am ,20-Sep-2014,0.441
7pm ,26-Oct-2014,1.166kwh
4am , 2-Dec-2014,0.231  
1am ,08-Jul-2014,0.538kwh 
11pm ,14-Apr-2014,0.176 
2pm ,20-Nov-2014,0.151kwh  
12pm , 4-Jan-2014,1.14  
12pm ,21-May-2014,0.468
7pm ,31-Jul-2014,3.974
4pm ,20-Jul-2014,2.29 
1pm ,18-Mar-2014,0.288kwh 
12pm ,05-May-2014,0.464 
10am ,03-Feb-2014,0.475 
4pm ,16-Feb-2014,1.145  
11am ,31-Mar-2014,0.404kwh  
9pm ,25-Nov-2014,0.294  
8pm ,06-Sep-2014,1.386   
8am ,24-Sep-2014,0.274  
7pm ,20-Nov-2014,0.794  
6pm , 9-Sep-2014,0.813 
10pm ,21-Feb-2014,0.756kwh 
7pm ,03-Jul-2014,4.061kwh  
12pm ,17-Aug-2014,0.799 
2pm ,13-Jun-2014,0.706  
9pm ,22-May-2014,0.456kwh 
6am ,31-May-2014,0.768
12pm ,21-Apr-2014,0.18kwh
9pm , 4-Dec-2014,0.607 
11am , 5-Aug-2014,0.576 
6am ,23-Jun-2014,2.009  
7am , 5-Oct-2014,0.67
5pm ,12-May-2014,1.123
10am ,13-Jul-2014,1.31  
8am ,30-Apr-2014,0.121kwh
2pm ,29-Aug-2014,0.418 
12am ,29-Apr-2014,0.10kwh  
9pm , 9-Sep-2014,0.449kwh
4pm ,14-Nov-2014,0.157   
11am ,26-Nov-2014,0.18kwh  
3pm ,21-May-2014,0.32kwh  
7am ,20-Nov-2014,0.478
8pm ,18-Oct-2014,0.929kwh  
9pm ,29-Jul-2014,1.397  
6pm ,04-Mar-2014,1.154kwh  
10pm ,26-Dec-2014,0.701kwh  
11pm ,28-Apr-2014,0.168kwh
12pm ,19-Feb-2014,0.672kwh 
11pm ,17-May-2014,0.784kwh 
5am ,11-Aug-2014,1.373kwh  
5pm ,19-Oct-2014,0.518kwh 
11am ,27-Dec-2014,0.607 
12pm , 6-Jul-2014,1.699   
11am ,13-Jun-2014,0.891
6am , 7-Jan-2014,2.40
11pm ,14-Sep-2014,0.354kwh 
8am ,07-Nov-2014,0.169kwh  
7am ,23-May-2014,0.85 
6am ,10-Feb-2014,1.267 
8pm ,14-Dec-2014,1.683kwh
6am ,9-Jan-2014,2.664   
7am , 9-Feb-2014,1.541kwh  
5am ,18-Sep-2014,0.739kwh
9am ,09-Dec-2014,0.353 
3pm , 5-Apr-2014,0.313  
10am ,19-Oct-2014,0.331
4am ,08-Dec-2014,0.213kwh
9pm ,28-Mar-2014,0.294 
4am ,06-Dec-2014,0.274kwh 
12pm ,5-Nov-2014,0.218
5am ,14-Sep-2014,0.239kwh  
11am ,15-Dec-2014,0.462kwh 
3pm ,12-Sep-2014,0.328 
1pm ,13-Mar-2014,0.371  
2am ,22-Oct-2014,0.116  
8pm ,14-Oct-2014,0.768kwh 
1am ,10-Jun-2014,0.338   
3pm ,1-Aug-2014,0.384 
1pm ,31-Dec-2014,0.524kwh  
5am , 5-Sep-2014,0.732
1am ,11-Jan-2014,0.624  
2pm ,25-Mar-2014,0.339kwh
9am , 9-Jun-2014,0.643kwh 
12pm ,25-Dec-2014,0.589  
8am ,20-Jun-2014,0.605kwh  
3pm , 8-Jan-2014,0.816  
6pm ,24-Apr-2014,0.374 
2am ,25-Jul-2014,0.394 
7pm ,14-Apr-2014,0.529kwh 
1am ,20-Jul-2014,0.698  
8am ,17-Dec-2014,0.431 
2am ,21-Aug-2014,0.235
9am , 2-Jun-2014,0.454   
1pm , 1-Sep-2014,0.314 
10pm ,14-Jan-2014,0.95
11am , 7-Sep-2014,0.50
5pm ,05-Nov-2014,0.69 
6pm , 3-Jan-2014,2.352kwh 
1pm ,17-Jul-2014,0.998  
1am ,20-Aug-2014,0.278kwh
2am ,31-Jul-2014,0.389
5am ,15-Sep-2014,0.724kwh  
3pm ,17-Sep-2014,0.232kwh 
6am ,5-Feb-2014,1.296
7pm ,21-Aug-2014,1.728kwh 
7pm ,30-Jan-2014,3.276  
12am ,26-Aug-2014,0.418 
12am ,22-Aug-2014,0.335
9am , 3-May-2014,0.857kwh 
2pm ,16-Aug-2014,0.893
10pm ,24-Sep-2014,0.319 
4am ,21-Aug-2014,0.252   
9am ,27-Oct-2014,0.157
1am ,07-Jan-2014,0.368  
8am ,12-Jan-2014,2.73  
6pm ,18-Jan-2014,3.816kwh
2am ,14-Dec-2014,0.327 
8pm ,21-Dec-2014,1.94kwh  
1pm ,16-Jul-2014,0.826kwh  
5pm ,01-Jul-2014,3.557  
9pm , 4-Oct-2014,0.226  
2pm ,30-Jun-2014,0.734 
5am ,21-Jun-2014,0.491 
6pm ,01-May-2014,1.086kwh
9am ,06-Jul-2014,2.052  
11pm , 7-Feb-2014,1.176 
11am ,19-May-2014,0.34
11am ,12-May-2014,0.34  
12pm ,18-Feb-2014,0.576kwh 
10am , 9-Feb-2014,0.677   
4am ,12-Oct-2014,0.216  
5pm , 6-Sep-2014,0.611  
2am ,17-Jul-2014,0.437  
6am ,21-Feb-2014,1.31
1am ,23-Mar-2014,0.286kwh 
5pm ,24-Dec-2014,1.516kwh  
11am ,29-Apr-2014,0.174
8am ,09-Nov-2014,0.62   
9pm ,6-Jan-2014,1.008kwh
4pm ,29-Aug-2014,0.552kwh 
2am ,26-May-2014,0.134
8pm ,11-Jul-2014,4.301kwh  
1pm , 1-Aug-2014,0.494  
4pm , 2-May-2014,0.368 
6pm ,26-May-2014,1.344kwh  
4pm ,31-Dec-2014,0.44kwh  
2pm ,02-Aug-2014,0.979kwh
2pm ,19-Feb-2014,0.394
9pm ,27-Oct-2014,0.407 
4pm ,11-Jun-2014,0.756  
2am ,21-Apr-2014,0.061  
4am ,24-Dec-2014,0.209  
1pm ,18-Feb-2014,0.451  
2am ,20-Jan-2014,0.376kwh  
8am ,20-Sep-2014,0.874   
6am , 6-Dec-2014,0.713kwh  
5am ,22-Feb-2014,0.371   
12am ,12-Mar-2014,0.218 
7pm ,24-Aug-2014,2.052
1am ,14-Jul-2014,0.576kwh 
5pm ,21-Mar-2014,0.832 
1pm ,18-Aug-2014,0.408kwh  
7pm ,28-Sep-2014,1.474  
1pm ,01-Nov-2014,0.243  
5pm , 6-Dec-2014,0.96kwh
7pm ,18-Jun-2014,3.013kwh  
12am ,14-Aug-2014,0.392 
4am ,22-Apr-2014,0.062 
12am ,20-Dec-2014,0.898kwh 
8pm ,14-Feb-2014,2.131 
12pm , 8-May-2014,0.34 
2pm ,10-Nov-2014,0.189   
11am , 4-Jul-2014,1.344  
9pm , 8-Sep-2014,0.496  
3pm ,16-Mar-2014,0.648kwh
2am ,13-Apr-2014,0.077   
12am ,11-Oct-2014,0.422  
4am ,18-Mar-2014,0.179  
1pm ,25-Jan-2014,1.404  
7pm ,09-Nov-2014,0.956kwh
2am ,01-Apr-2014,0.052kwh  
1am , 1-Apr-2014,0.064kwh  
3am ,19-Nov-2014,0.09 
3pm ,27-Jul-2014,1.75  
1pm ,10-Jul-2014,0.922   
6pm ,19-Oct-2014,0.983kwh 
5am ,18-Dec-2014,1.21kwh  
4am , 6-Nov-2014,0.102kwh 
11pm ,16-May-2014,0.872 
2pm , 3-May-2014,0.723kwh  
8pm , 7-Apr-2014,0.422  
12pm ,31-Jan-2014,0.97  
7am ,12-Oct-2014,0.706   
10am ,28-May-2014,0.291   
8pm ,6-Jan-2014,3.264  
7am ,26-Feb-2014,1.296 
3am ,25-Jun-2014,0.392kwh 
9pm ,17-May-2014,0.384 
4pm ,16-Jan-2014,0.832 
8pm , 5-Dec-2014,2.042kwh
9pm ,11-Feb-2014,0.727kwh  
12am ,15-Sep-2014,0.248 
10am ,16-Aug-2014,0.713  
1pm ,25-Jun-2014,0.691  
5pm , 5-Aug-2014,1.326kwh  
1am ,27-Mar-2014,0.141  
4am ,27-Mar-2014,0.173   
7pm ,31-Dec-2014,1.94  
10am ,30-Nov-2014,0.297  
1pm ,26-Jun-2014,0.634 
3am ,28-May-2014,0.133kwh  
9pm ,22-Dec-2014,0.779 
7pm ,30-Aug-2014,1.922 
10pm , 4-Aug-2014,0.582   
2pm ,03-Mar-2014,0.339kwh
7am , 2-Oct-2014,0.643   
7am ,28-Sep-2014,0.731kwh 
11pm ,11-Oct-2014,0.684   
3am , 4-Jan-2014,0.558 
12pm ,01-Aug-2014,0.528  
7pm ,19-Sep-2014,1.197kwh
8pm , 7-Jul-2014,3.187  
8am ,17-Oct-2014,0.25   
5am ,22-Nov-2014,0.139 
2pm , 5-Mar-2014,0.362  
9am ,11-Apr-2014,0.086   
8am ,19-Aug-2014,0.538  
7pm ,18-May-2014,1.354   
9am ,11-Aug-2014,0.346  
2am , 8-Aug-2014,0.204   
3am , 1-May-2014,0.165kwh
5pm ,11-Feb-2014,1.404  
7am ,07-Feb-2014,1.264  
3pm ,31-Mar-2014,0.378   
5am ,25-Feb-2014,1.162 
2am ,23-Feb-2014,0.335kwh 
7am ,08-Dec-2014,1.069kwh  
2pm ,30-Oct-2014,0.228kwh  
11pm , 1-Aug-2014,1.176
10pm , 9-Mar-2014,0.412  
9pm ,28-Jun-2014,0.605kwh 
3am ,26-Sep-2014,0.134kwh  
8am ,14-Oct-2014,0.233  
11am ,20-Jul-2014,1.339 
9pm ,11-Mar-2014,0.562kwh
8am ,6-Feb-2014,0.552kwh
12am ,24-Nov-2014,0.135kwh  
4pm ,01-Dec-2014,0.361 
8am ,16-Nov-2014,0.48   
8pm ,22-Aug-2014,2.189   
10am , 1-Feb-2014,0.626kwh 
7pm ,20-May-2014,1.67 
2am ,23-Jul-2014,0.547  
2am ,30-Jul-2014,0.413   
7pm ,31-Mar-2014,1.354 
5am ,29-Oct-2014,0.653kwh 
4pm ,01-Sep-2014,0.246kwh  
8pm ,29-Jun-2014,3.434kwh 
4pm ,02-Mar-2014,0.59 
5am ,29-Jan-2014,2.024
8pm ,26-Jan-2014,2.88kwh
4pm ,17-Mar-2014,0.355   
11pm ,04-Jun-2014,0.882kwh  
12pm ,22-Jul-2014,1.044kwh  
1pm ,11-Jul-2014,0.96   
6pm ,16-Apr-2014,0.336 
7am ,21-Jun-2014,1.966kwh
7pm ,10-Nov-2014,0.826  
7pm ,30-Jun-2014,3.272  
7pm ,13-Jan-2014,3.744 
11am ,8-Feb-2014,0.612kwh 
9pm ,22-Nov-2014,0.157   
8pm ,8-Feb-2014,1.836kwh 
1pm , 2-Sep-2014,0.238kwh
8pm , 5-Jan-2014,4.068   
5am ,20-Oct-2014,0.561kwh
1am ,26-Jan-2014,0.69  
11pm ,09-Apr-2014,0.171 
7am ,09-Aug-2014,1.613kwh  
2am ,16-Apr-2014,0.065  
4pm ,20-Dec-2014,1.139
12am ,14-Mar-2014,0.223  
4am ,16-Jul-2014,0.514  
1pm ,23-Mar-2014,0.514kwh  
2am ,26-Feb-2014,0.206kwh  
10am , 4-Jul-2014,1.027 
4am ,10-Dec-2014,0.229 
12pm ,01-Nov-2014,0.297kwh 
3pm ,08-Jul-2014,0.97kwh
5am ,14-Nov-2014,0.49 
5pm ,20-Nov-2014,0.509   
8am ,21-May-2014,0.317   
1pm ,14-Jul-2014,0.998kwh  
6am ,23-Nov-2014,0.414   
9am ,18-Mar-2014,0.247  
3am ,28-Mar-2014,0.163   
1pm , 8-Jul-2014,0.96 
8am ,18-Sep-2014,0.283kwh 
